キセノン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,きせのん,キセノン,キセノン
セシウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,せしうむ,セシウム,セシウム
バリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ばりうむ,バリウム,バリウム
ランタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,らんたん,ランタン,ランタン
セリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,せりうむ,セリウム,セリウム
プラセオジム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷらせおじむ,プラセオジム,プラセオジム
ネオジム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ねおじむ,ネオジム,ネオジム
プロメチウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろめちうむ,プロメチウム,プロメチウム
サマリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,さまりうむ,サマリウム,サマリウム
ユウロピウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ゆうろぴうむ,ユウロピウム,ユウロピウム
ガドリニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,がどりにうむ,ガドリニウム,ガドリニウム
テルビウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,てるびうむ,テルビウム,テルビウム
ジスプロシウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,じすぷろしうむ,ジスプロシウム,ジスプロシウム
ホルミウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ほるみうむ,ホルミウム,ホルミウム
エルビウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えるびうむ,エルビウム,エルビウム
ツリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,つりうむ,ツリウム,ツリウム
イッテルビウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,いってるびうむ,イッテルビウム,イッテルビウム
ルテチウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,るてちうむ,ルテチウム,ルテチウム
ハフニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,はふにうむ,ハフニウム,ハフニウム
タンタル,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,たんたる,タンタル,タンタル
タングステン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,たんぐすてん,タングステン,タングステン
レニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,れにうむ,レニウム,レニウム
オスミウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おすみうむ,オスミウム,オスミウム
イリジウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,いりじうむ,イリジウム,イリジウム
白金,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,白金,白金,白金
金,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,金,金,金
水銀,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,水銀,水銀,水銀
タリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,たりうむ,タリウム,タリウム
鉛,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,鉛,鉛,鉛
ビスマス,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,びすます,ビスマス,ビスマス
ポロニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぽろにうむ,ポロニウム,ポロニウム
アスタチン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あすたちん,アスタチン,アスタチン
ラドン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,らどん,ラドン,ラドン
フランシウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ふらんしうむ,フランシウム,フランシウム
ラジウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,らじうむ,ラジウム,ラジウム
アクチニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あくちにうむ,アクチニウム,アクチニウム
トリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,とりうむ,トリウム,トリウム
プロトアクチニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろとあくちにうむ,プロトアクチニウム,プロトアクチニウム
ウラン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,うらん,ウラン,ウラン
ネプツニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ねぷつにうむ,ネプツニウム,ネプツニウム
プルトニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷるとにうむ,プルトニウム,プルトニウム
アメリシウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あめりしうむ,アメリシウム,アメリシウム
キュリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,きゅりうむ,キュリウム,キュリウム
バークリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ばーくりうむ,バークリウム,バークリウム
カリホルニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,かりほるにうむ,カリホルニウム,カリホルニウム
アインスタイニウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,あいんすたいにうむ,アインスタイニウム,アインスタイニウム
フェルミウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ふぇるみうむ,フェルミウム,フェルミウム
メンデレビウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,めんでれびうむ,メンデレビウム,メンデレビウム
ノーベリウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,のーべりうむ,ノーベリウム,ノーベリウム
ローレンシウム,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ろーれんしうむ,ローレンシウム,ローレンシウム
メタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,めたん,メタン,メタン
エタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,えたん,エタン,エタン
プロパン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぷろぱん,プロパン,プロパン
ブタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぶたん,ブタン,ブタン
ペンタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,ぺんたん,ペンタン,ペンタン
ヘキサン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へきさん,ヘキサン,ヘキサン
ヘプタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,へぷたん,ヘプタン,ヘプタン
オクタン,1285,1285,-5000,名詞,化学フラグメント,*,*,*,*,おくたん,オクタン,オクタン
